geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1464552,Qaram Qol,P,PPLA2,AF,Afghanistan,,7,1810,,,0,,334,Asia/Kabul,2020/6/11,Afghanistan
1136575,Khulm,P,PPLA2,AF,Afghanistan,,30,1614,,,64933,,445,Asia/Kabul,2018/2/17,Afghanistan
1137148,Khandud,P,PPLA2,AF,Afghanistan,,1,1106,,,5521,,2807,Asia/Kabul,2020/6/9,Afghanistan
1137160,Khanaqah,P,PPLA2,AF,Afghanistan,,31,1710,,,0,,299,Asia/Kabul,2018/2/17,Afghanistan
1138590,Kalan Deh,P,PPLA2,AF,Afghanistan,,27,409,,,0,,2502,Asia/Kabul,2020/6/9,Afghanistan
1142170,Fayzabad,P,PPLA,AF,Afghanistan,,1,1101,,,44421,,1210,Asia/Kabul,2018/2/17,Afghanistan
1145417,Tsaperai,P,PPLA2,AF,Afghanistan,,36,707,,,0,,1679,Asia/Kabul,2020/6/9,Afghanistan
1149107,Alah Say,P,PPLA2,AF,Afghanistan,,14,206,,,0,,1602,Asia/Kabul,2020/6/9,Afghanistan
1452109,Karbori,P,PPLA2,AF,Afghanistan,,34,1007,,,0,,884,Asia/Kabul,2020/7/10,Afghanistan
1467505,Ziraki,P,PPLA2,AF,Afghanistan,,1,1112,,,0,,2475,Asia/Kabul,2018/2/17,Afghanistan
1120471,Zor Kot,P,PPLA2,AF,Afghanistan,,37,3205,,,0,,1845,Asia/Kabul,2020/9/24,Afghanistan
1124973,Shewah,P,PPLA2,AF,Afghanistan,,18,819,,,0,,602,Asia/Kabul,2020/7/8,Afghanistan
1126216,Wuleswali Sayyid Karam,P,PPLA2,AF,Afghanistan,,36,710,,,0,,2458,Asia/Kabul,2020/6/9,Afghanistan
1127451,Sar Chakan,P,PPLA2,AF,Afghanistan,,7,1807,,,0,,1348,Asia/Kabul,2018/2/17,Afghanistan
